Common Name,Scientific Name
Long-tailed Duck,Clangula hyemalis
Eurasian Bittern,Botaurus stellaris
Red Knot,Calidris canutus
Gray Heron,Ardea cinerea
Green-winged Teal,Anas crecca
Great Black-backed Gull,Larus marinus
Fieldfare,Turdus pilaris
Merlin,Falco columbarius
Tundra Bean-Goose,Anser serrirostris
Greater White-fronted Goose,Anser albifrons
European Starling,Sturnus vulgaris
Pink-footed Goose,Anser brachyrhynchus
Stock Dove,Columba oenas
Red Crossbill,Loxia curvirostra
Eurasian Goshawk,Astur gentilis
Mallard,Anas platyrhynchos
Water Pipit,Anthus spinoletta
Common Raven,Corvus corax
Great Egret,Ardea alba
Eurasian Jackdaw,Coloeus monedula
Yellow-browed Warbler,Phylloscopus inornatus
Bluethroat,Luscinia svecica
Eurasian Moorhen,Gallinula chloropus
Ring-necked Pheasant,Phasianus colchicus
Peregrine Falcon,Falco peregrinus
Mistle Thrush,Turdus viscivorus
Manx Shearwater,Puffinus puffinus
Lesser Black-backed Gull,Larus fuscus
Glossy Ibis,Plegadis falcinellus
Wood Sandpiper,Tringa glareola
Marsh Sandpiper,Tringa stagnatilis
Lesser Whitethroat,Curruca curruca
Yellow-legged Gull,Larus michahellis
Little Ringed Plover,Thinornis dubius
Marsh Tit,Poecile palustris
Red-footed Falcon,Falco vespertinus
European Robin,Erithacus rubecula
Eurasian Hobby,Falco subbuteo
Western Cattle-Egret,Ardea ibis
Western Yellow Wagtail,Motacilla flava
Sedge Warbler,Acrocephalus schoenobaenus
Arctic Tern,Sterna paradisaea
Horned Grebe,Podiceps auritus
Cetti's Warbler,Cettia cetti
Western Barn Owl,Tyto alba
Eurasian Linnet,Linaria cannabina
Common Wood-Pigeon,Columba palumbus
Eurasian Jay,Garrulus glandarius
Black Redstart,Phoenicurus ochruros
Common Chiffchaff,Phylloscopus collybita
Northern Shoveler,Spatula clypeata
Purple Sandpiper,Calidris maritima
Black-legged Kittiwake,Rissa tridactyla
Booted Eagle,Hieraaetus pennatus
Western Marsh Harrier,Circus aeruginosus
European Goldfinch,Carduelis carduelis
Eurasian Skylark,Alauda arvensis
European Stonechat,Saxicola rubicola
Carrion Crow,Corvus corone
Great Cormorant,Phalacrocorax carbo
Gray Partridge,Perdix perdix
European Pied Flycatcher,Ficedula hypoleuca
Parasitic Jaeger,Stercorarius parasiticus
Little Tern,Sternula albifrons
Common Scoter,Melanitta nigra
Red-legged Partridge,Alectoris rufa
Rose-ringed Parakeet,Psittacula krameri
Little Egret,Egretta garzetta
Eurasian Blue Tit,Cyanistes caeruleus
Common Reed Warbler,Acrocephalus scirpaceus
Common Firecrest,Regulus ignicapilla
Northern Wheatear,Oenanthe oenanthe
Black-tailed Godwit,Limosa limosa
Eurasian Wren,Troglodytes troglodytes
Wood Lark,Lullula arborea
Common Chaffinch,Fringilla coelebs
European Herring Gull,Larus argentatus
Common Gull,Larus canus
Eurasian Green Woodpecker,Picus viridis
Eurasian Nuthatch,Sitta europaea
Dunlin,Calidris alpina
Red Kite,Milvus milvus
Water Rail,Rallus aquaticus
Pallid Harrier,Circus macrourus
Eurasian Sparrowhawk,Accipiter nisus
Black-crowned Night Heron,Nycticorax nycticorax
Little Owl,Athene noctua
Eurasian Treecreeper,Certhia familiaris
Eurasian Golden Oriole,Oriolus oriolus
Tawny Owl,Strix aluco
Osprey,Pandion haliaetus
Wood Warbler,Phylloscopus sibilatrix
Bar-tailed Godwit,Limosa lapponica
American Wigeon,Mareca americana
Common Kingfisher,Alcedo atthis
Eurasian Magpie,Pica pica
Dunnock,Prunella modularis
Eurasian Spoonbill,Platalea leucorodia
House Sparrow,Passer domesticus
Lesser Scaup,Aythya affinis
Eurasian Curlew,Numenius arquata
Gray Wagtail,Motacilla cinerea
Jack Snipe,Lymnocryptes minimus
Song Thrush,Turdus philomelos
Common Nighthawk,Chordeiles minor
Eurasian Blackcap,Sylvia atricapilla
Eurasian Wryneck,Jynx torquilla
Ferruginous Duck,Aythya nyroca
Whinchat,Saxicola rubetra
Corn Bunting,Emberiza calandra
Spotted Flycatcher,Muscicapa striata
Eurasian Oystercatcher,Haematopus ostralegus
Mediterranean Gull,Ichthyaetus melanocephalus
Pallas's Leaf Warbler,Phylloscopus proregulus
Great Tit,Parus major
Eurasian Woodcock,Scolopax rusticola
Dovekie,Alle alle
Meadow Pipit,Anthus pratensis
Purple Heron,Ardea purpurea
Roseate Tern,Sterna dougallii
Garganey,Spatula querquedula
Rock Pigeon,Columba livia
Common Redstart,Phoenicurus phoenicurus
Ruddy Turnstone,Arenaria interpres
Rosy Starling,Pastor roseus
Greater Whitethroat,Curruca communis
Great Spotted Woodpecker,Dendrocopos major
Garden Warbler,Sylvia borin
Common Cuckoo,Cuculus canorus
Common Hoopoe,Upupa epops
Little Gull,Hydrocoloeus minutus
Willow Warbler,Phylloscopus trochilus
Mute Swan,Cygnus olor
Common Redshank,Tringa totanus
Gadwall,Mareca strepera
Egyptian Goose,Alopochen aegyptiaca
Northern Pintail,Anas acuta
White Wagtail,Motacilla alba
Coal Tit,Periparus ater
Goldcrest,Regulus regulus
Canada Goose,Branta canadensis
Iceland Gull,Larus glaucoides
Caspian Gull,Larus cachinnans
Eurasian Collared-Dove,Streptopelia decaocto
Great Crested Grebe,Podiceps cristatus
Redpoll,Acanthis flammea
Eurasian Siskin,Spinus spinus
Tree Pipit,Anthus trivialis
Arctic Loon,Gavia arctica
European Golden-Plover,Pluvialis apricaria
Eurasian Wigeon,Mareca penelope
Eurasian Coot,Fulica atra
Graylag Goose,Anser anser
Eurasian Bullfinch,Pyrrhula pyrrhula
Bank Swallow,Riparia riparia
European Red-rumped Swallow,Cecropis rufula
Bonaparte's Gull,Chroicocephalus philadelphia
Little Bunting,Emberiza pusilla
Hen Harrier,Circus cyaneus
Richard's Pipit,Anthus richardi
Red-necked Phalarope,Phalaropus lobatus
Spotted Redshank,Tringa erythropus
Barn Swallow,Hirundo rustica
Great Skua,Stercorarius skua
Common Shelduck,Tadorna tadorna
Eared Grebe,Podiceps nigricollis
Hawfinch,Coccothraustes coccothraustes
Western House-Martin,Delichon urbicum
European Shag,Gulosus aristotelis
Rook,Corvus frugilegus
Red-crested Pochard,Netta rufina
Long-tailed Tit,Aegithalos caudatus
Sandwich Tern,Thalasseus sandvicensis
Eurasian Scops-Owl,Otus scops
Great Gray Shrike,Lanius excubitor
Common Loon,Gavia immer
Red Phalarope,Phalaropus fulicarius
Eurasian Nightjar,Caprimulgus europaeus
Eurasian Whimbrel,Numenius phaeopus
Ring-necked Duck,Aythya collaris
Oriental Turtle-Dove,Streptopelia orientalis
Rock Pipit,Anthus petrosus
Spotted Sandpiper,Actitis macularius
Common Nightingale,Luscinia megarhynchos
Green Sandpiper,Tringa ochropus
Eurasian Kestrel,Falco tinnunculus
Pied Avocet,Recurvirostra avosetta
Glaucous Gull,Larus hyperboreus
Falcated Duck,Mareca falcata
American Golden-Plover,Pluvialis dominica
Ring Ouzel,Turdus torquatus
Lapland Longspur,Calcarius lapponicus
Curlew Sandpiper,Calidris ferruginea
Citrine Wagtail,Motacilla citreola
Sanderling,Calidris alba
Willow Tit,Poecile montanus
Lesser Yellowlegs,Tringa flavipes
Bearded Reedling,Panurus biarmicus
Mandarin Duck,Aix galericulata
White-throated Dipper,Cinclus cinclus
Spotted Crake,Porzana porzana
Common Buzzard,Buteo buteo
Sabine's Gull,Xema sabini
Black Tern,Chlidonias niger
Short-eared Owl,Asio flammeus
Horned Lark,Eremophila alpestris
Pectoral Sandpiper,Calidris melanotos
American Pipit,Anthus rubescens
Ruff,Calidris pugnax
White-rumped Sandpiper,Calidris fuscicollis
Baltimore Oriole,Icterus galbula
Leach's Storm-Petrel,Hydrobates leucorhous
Northern Fulmar,Fulmarus glacialis
Temminck's Stint,Calidris temminckii
Eurasian Dotterel,Eudromias morinellus
Common Swift,Apus apus
Common Sandpiper,Actitis hypoleucos
Common Tern,Sterna hirundo
Common Crane,Grus grus
White-winged Crossbill,Loxia leucoptera
Baikal Teal,Sibirionetta formosa
Eurasian Blackbird,Turdus merula
Little Grebe,Tachybaptus ruficollis
Franklin's Gull,Leucophaeus pipixcan
Common Greenshank,Tringa nebularia
Black-headed Gull,Chroicocephalus ridibundus
Black-bellied Plover,Pluvialis squatarola
Iberian Chiffchaff,Phylloscopus ibericus
Pied-billed Grebe,Podilymbus podiceps
White-winged Tern,Chlidonias leucopterus
Common Ringed Plover,Charadrius hiaticula
Surf Scoter,Melanitta perspicillata
Common Quail,Coturnix coturnix
Yellowhammer,Emberiza citrinella
Reed Bunting,Emberiza schoeniclus
Little Stint,Calidris minuta
Bohemian Waxwing,Bombycilla garrulus
Long-tailed Jaeger,Stercorarius longicaudus
Blue-winged Teal,Spatula discors
European Serin,Serinus serinus
Red-throated Loon,Gavia stellata
European Greenfinch,Chloris chloris
Brant,Branta bernicla
Northern Lapwing,Vanellus vanellus
Woodchat Shrike,Lanius senator
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Common Goldeneye,Bucephala clangula
Common Pochard,Aythya ferina
Twite,Linaria flavirostris
Ruddy Duck,Oxyura jamaicensis
Red-breasted Merganser,Mergus serrator
Red-necked Grebe,Podiceps grisegena
Smew,Mergellus albellus
Common Merganser,Mergus merganser
Velvet Scoter,Melanitta fusca
Common Grasshopper Warbler,Locustella naevia
Snow Bunting,Plectrophenax nivalis
Common Snipe,Gallinago gallinago
White-tailed Eagle,Haliaeetus albicilla
Whooper Swan,Cygnus cygnus
Redwing,Turdus iliacus
European Turtle-Dove,Streptopelia turtur
Lesser Spotted Woodpecker,Dryobates minor
Eurasian Tree Sparrow,Passer montanus
Whiskered Tern,Chlidonias hybrida
Brambling,Fringilla montifringilla
Red-backed Shrike,Lanius collurio
Tundra Swan,Cygnus columbianus
Savi's Warbler,Locustella luscinioides
Dartford Warbler,Curruca undata
Eurasian Thick-knee,Burhinus oedicnemus
European Honey-buzzard,Pernis apivorus
Long-eared Owl,Asio otus
Corn Crake,Crex crex
Marsh Warbler,Acrocephalus palustris
European Bee-eater,Merops apiaster
Black-winged Stilt,Himantopus himantopus
Montagu's Harrier,Circus pygargus
